,Company,model,Year,Expert_rating,Symbol
429,hyundai,Santa Fe,2020,8.3,HYMTF
430,hyundai,Sonata,2016,8.3,HYMTF
431,hyundai,Santa Fe,2016,8.5,HYMTF
432,hyundai,Tucson,2016,9.0,HYMTF
433,hyundai,Tucson,2020,8.0,HYMTF
434,hyundai,Sonata,2019,8.3,HYMTF
435,hyundai,Tucson,2021,8.0,HYMTF
436,hyundai,Sonata,2020,8.0,HYMTF
437,hyundai,Sonata,2010,9.0,HYMTF
438,hyundai,Sonata,2015,8.7,HYMTF
439,hyundai,Sonata,2013,9.0,HYMTF
440,hyundai,Tucson,2011,8.0,HYMTF
441,hyundai,Sonata,2012,7.9,HYMTF
442,hyundai,Santa Fe,2011,8.0,HYMTF
443,hyundai,Sonata,2011,8.0,HYMTF
444,hyundai,Santa Fe,2013,7.8,HYMTF
445,hyundai,Santa Fe,2012,7.7,HYMTF
446,hyundai,Tucson,2012,8.4,HYMTF
447,hyundai,Tucson,2015,8.6,HYMTF
448,hyundai,Santa Fe,2015,8.5,HYMTF
449,hyundai,Santa Fe,2014,8.5,HYMTF
450,hyundai,Santa Fe,2010,7.6,HYMTF
451,hyundai,Tucson,2014,8.2,HYMTF
452,hyundai,Tucson,2010,7.8,HYMTF
453,hyundai,Tucson,2009,7.2,HYMTF
454,hyundai,Tucson,2013,8.5,HYMTF
455,hyundai,Sonata,2009,8.2,HYMTF
456,hyundai,Sonata,2014,8.6,HYMTF
457,hyundai,Santa Fe,2009,8.5,HYMTF
458,kia,Sorento,2012,8.3,000270.KS
459,kia,Sorento,2020,8.1,000270.KS
460,kia,Sportage,2020,8.3,000270.KS
461,kia,Rio,2012,8.6,000270.KS
462,kia,Sportage,2017,8.6,000270.KS
463,kia,Sorento,2017,8.6,000270.KS
464,kia,Rio,2020,8.1,000270.KS
465,kia,Sorento,2018,8.5,000270.KS
466,kia,Rio,2013,9.0,000270.KS
467,kia,Sportage,2009,8.0,000270.KS
468,kia,Sportage,2014,8.2,000270.KS
469,kia,Sorento,2014,8.1,000270.KS
470,kia,Rio,2014,8.1,000270.KS
471,kia,Sportage,2008,8.1,000270.KS
472,kia,Sorento,2008,8.4,000270.KS
473,kia,Rio,2008,7.7,000270.KS
