,Date,Symbol,Open
1104,2010-03-11,BMW.DE,32.165000915527344
1105,2010-03-11,HMC,36.08000183105469
1106,2010-03-11,HYMTF,17.5
1109,2010-03-11,000270.KS,22200.0
1112,2010-03-11,7201.T,746.0
1116,2010-03-11,7270.T,441.0
1122,2010-03-11,7261.T,1175.0
1124,2010-03-12,TM,77.44999694824219
1125,2010-03-12,VOW3.DE,68.72660827636719
1126,2010-03-12,DAI.DE,33.20000076293945
1127,2010-03-12,F,13.020000457763672
1128,2010-03-12,BMW.DE,32.849998474121094
1129,2010-03-12,HMC,36.5
1130,2010-03-12,HYMTF,17.0
1133,2010-03-12,000270.KS,21800.0
1136,2010-03-12,7201.T,755.0
1140,2010-03-12,7270.T,451.0
1146,2010-03-12,7261.T,1170.0
1148,2010-03-15,TM,77.36000061035156
1149,2010-03-15,VOW3.DE,69.83991241455078
1150,2010-03-15,DAI.DE,33.650001525878906
1151,2010-03-15,F,13.460000038146973
1152,2010-03-15,BMW.DE,32.619998931884766
1153,2010-03-15,HMC,36.380001068115234
1154,2010-03-15,HYMTF,17.5
1157,2010-03-15,000270.KS,21100.0
1160,2010-03-15,7201.T,755.0
1164,2010-03-15,7270.T,458.0
1170,2010-03-15,7261.T,1180.0
1172,2010-03-16,TM,78.52999877929688
1173,2010-03-16,VOW3.DE,69.03475189208984
1174,2010-03-16,DAI.DE,33.599998474121094
1175,2010-03-16,F,13.489999771118164
1176,2010-03-16,BMW.DE,32.775001525878906
1177,2010-03-16,HMC,36.18000030517578
1178,2010-03-16,HYMTF,17.25
1181,2010-03-16,000270.KS,21500.0
1184,2010-03-16,7201.T,764.0
1188,2010-03-16,7270.T,461.0
1194,2010-03-16,7261.T,1205.0
1196,2010-03-17,TM,79.5
1197,2010-03-17,VOW3.DE,70.47608947753906
1198,2010-03-17,DAI.DE,34.494998931884766
1199,2010-03-17,F,13.550000190734863
1200,2010-03-17,BMW.DE,32.83000183105469
1201,2010-03-17,HMC,35.61000061035156
1202,2010-03-17,HYMTF,17.5
1205,2010-03-17,000270.KS,22450.0
1208,2010-03-17,7201.T,772.0
1212,2010-03-17,7270.T,465.0
1218,2010-03-17,7261.T,1210.0
1220,2010-03-18,TM,78.9800033569336
1221,2010-03-18,VOW3.DE,70.93333435058594
1222,2010-03-18,DAI.DE,34.349998474121094
1223,2010-03-18,F,14.229999542236328
1224,2010-03-18,BMW.DE,32.43000030517578
1225,2010-03-18,HMC,35.63999938964844
1226,2010-03-18,HYMTF,17.600000381469727
1229,2010-03-18,000270.KS,22600.0
1232,2010-03-18,7201.T,778.0
1236,2010-03-18,7270.T,466.0
1242,2010-03-18,7261.T,1235.0
1244,2010-03-19,TM,79.55999755859375
1245,2010-03-19,VOW3.DE,71.5595703125
1246,2010-03-19,DAI.DE,34.599998474121094
1247,2010-03-19,F,13.289999961853027
1248,2010-03-19,BMW.DE,32.42499923706055
1249,2010-03-19,HMC,35.959999084472656
1250,2010-03-19,HYMTF,17.600000381469727
1253,2010-03-19,000270.KS,23200.0
1256,2010-03-19,7201.T,768.0
1260,2010-03-19,7270.T,460.0
1266,2010-03-19,7261.T,1225.0
1268,2010-03-22,TM,79.04000091552734
1269,2010-03-22,VOW3.DE,71.56951141357422
1270,2010-03-22,DAI.DE,34.19499969482422
1271,2010-03-22,F,12.979999542236328
1272,2010-03-22,BMW.DE,31.920000076293945
1273,2010-03-22,HMC,35.7400016784668
1274,2010-03-22,HYMTF,18.0
1277,2010-03-22,000270.KS,23950.0
1287,2010-03-23,TM,80.94000244140625
1288,2010-03-23,VOW3.DE,71.93729400634766
1289,2010-03-23,DAI.DE,34.4900016784668
1290,2010-03-23,F,14.170000076293944
1291,2010-03-23,BMW.DE,32.69499969482422
1292,2010-03-23,HMC,36.02999877929688
1293,2010-03-23,HYMTF,17.600000381469727
1296,2010-03-23,000270.KS,24800.0
1299,2010-03-23,7201.T,766.0
1303,2010-03-23,7270.T,455.0
1309,2010-03-23,7261.T,1225.0
1311,2010-03-24,TM,81.87000274658203
1312,2010-03-24,VOW3.DE,68.58744812011719
1313,2010-03-24,DAI.DE,34.54999923706055
1314,2010-03-24,F,13.770000457763672
1315,2010-03-24,BMW.DE,33.33000183105469
1316,2010-03-24,HMC,35.61000061035156
1317,2010-03-24,HYMTF,18.0
1319,2010-03-24,000270.KS,24600.0
1322,2010-03-24,7201.T,768.0
1325,2010-03-24,7270.T,453.0
1331,2010-03-24,7261.T,1220.0
1333,2010-03-25,TM,80.77999877929688
1334,2010-03-25,VOW3.DE,69.08445739746094
1335,2010-03-25,DAI.DE,34.630001068115234
1336,2010-03-25,F,14.050000190734863
1337,2010-03-25,BMW.DE,33.5
1338,2010-03-25,HMC,35.70000076293945
1339,2010-03-25,HYMTF,18.0
1342,2010-03-25,000270.KS,24700.0
1345,2010-03-25,7201.T,776.0
1349,2010-03-25,7270.T,457.0
1355,2010-03-25,7261.T,1215.0
1357,2010-03-26,TM,80.80000305175781
1358,2010-03-26,VOW3.DE,67.64312744140625
1359,2010-03-26,DAI.DE,34.85499954223633
1360,2010-03-26,F,13.890000343322754
1361,2010-03-26,BMW.DE,33.94499969482422
1362,2010-03-26,HMC,35.459999084472656
1363,2010-03-26,HYMTF,19.14999961853028
1366,2010-03-26,000270.KS,25300.0
1369,2010-03-26,7201.T,775.0
1373,2010-03-26,7270.T,454.0
1379,2010-03-26,7261.T,1235.0
1381,2010-03-29,TM,80.80000305175781
1382,2010-03-29,VOW3.DE,69.07451629638672
1383,2010-03-29,DAI.DE,35.27000045776367
1384,2010-03-29,F,13.699999809265137
1385,2010-03-29,BMW.DE,34.404998779296875
1386,2010-03-29,HMC,35.290000915527344
1387,2010-03-29,HYMTF,18.5
1390,2010-03-29,000270.KS,24850.0
1393,2010-03-29,7201.T,778.0
1397,2010-03-29,7270.T,461.0
1403,2010-03-29,7261.T,1230.0
1405,2010-03-30,TM,81.1500015258789
1406,2010-03-30,VOW3.DE,69.08445739746094
1407,2010-03-30,DAI.DE,35.28499984741211
1408,2010-03-30,F,13.550000190734863
1409,2010-03-30,BMW.DE,34.26499938964844
1410,2010-03-30,HMC,35.5099983215332
1411,2010-03-30,HYMTF,18.5
1414,2010-03-30,000270.KS,26200.0
1417,2010-03-30,7201.T,783.0
1421,2010-03-30,7270.T,481.0
